step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
2,2023-07-03 08:00:15.804687301,1,194.05,66.0,-0.12807868886719306,12807.852414919307,0.007709923019774578,0.0164718
3,2023-07-03 08:00:19.671312224,1,194.21066000000002,53.0,-0.1029711613642005,10297.09969592005,0.07370992301977708,0.0164405
9,2023-07-03 08:00:30.451829005,1,194.01119,234.0,-0.45400986839686625,45400.970141986625,0.007709923019774578,0.0166977
11,2023-07-03 08:00:30.451829005,1,194.00353,82.0,-0.15909005611387622,15908.988913687623,0.007709923019774578,0.0166977
12,2023-07-03 08:00:30.451829005,1,194.00435,65.0,-0.12616172842696285,12616.156144996285,0.08970992301976821,0.0166977
14,2023-07-03 08:00:37.857944791,1,194.095,245.0,-0.4755578067093985,47555.76418113985,0.007709923019774578,0.0164898
18,2023-07-03 08:00:57.325590403,1,194.10745,62.0,-0.12035194964027227,12035.178355227226,0.007709923019774578,0.0166088
23,2023-07-03 08:01:02.738812696,1,194.12807,218.0,-0.42322091675318313,42322.075263218314,0.007709923019774578,0.0164121
24,2023-07-03 08:01:02.738841844,1,194.13025000000002,225.0,-0.4373061364177945,43730.59723267945,0.2257099230197639,0.0164091
25,2023-07-03 08:01:02.739065129,1,194.1325,152.0,-0.29543759353299004,29543.742948299005,0.2327099230197689,0.016405
26,2023-07-03 08:01:02.739074592,1,194.13402,232.0,-0.4507670005674059,45076.683582140584,0.1597099230197614,0.0164746
28,2023-07-03 08:01:11.297964469,1,194.19634000000002,245.0,-0.4758060892413985,47580.59248113985,0.007709923019774578,0.016443
29,2023-07-03 08:01:11.609390022,1,194.19879,177.0,-0.34418245302974493,34418.2287763745,0.2527099230197791,0.0165266
31,2023-07-03 08:01:12.249596259,1,194.20056,73.0,-0.14177273432480442,14177.256994380443,0.007709923019774578,0.0164381
36,2023-07-03 08:01:13.529950930,1,194.17129,119.0,-0.23107459073139355,23107.442600839353,0.007709923019774578,0.0164723
37,2023-07-03 08:01:13.720703771,1,194.24248,83.0,-0.1613272811151064,16132.711653610642,0.12670992301977435,0.0164579
43,2023-07-03 08:01:14.185830444,1,194.30331,197.0,-0.382796767311349,38279.6590148349,0.007709923019774578,0.0177163
44,2023-07-03 08:01:15.035597217,1,194.31528,116.0,-0.22564469848370297,22564.453391070296,0.2047099230197773,0.0164573
